#group,false,false,false,false
#datatype,dateTime:RFC3339,double,double,double
#default,,,,
,time,x,y,z
,2024-09-04T10:48:16.809979Z,-12.27,-1.28,-0.98
,2024-09-04T10:48:18.162735Z,-0.37,-0.85,-0.49
,2024-09-04T10:48:18.778424Z,-0.55,-1.89,-1.34
,2024-09-04T10:48:19.821934Z,-2.08,-1.1,-0.92
,2024-09-04T10:48:20.926866Z,-183.72,13,258.91
,2024-09-04T10:48:21.950936Z,-174.62,26.37,308.96
,2024-09-04T10:48:22.746059Z,323.67,91.19,186.1
,2024-09-04T10:48:23.755076Z,-421.75,-237.85,-361.94
,2024-09-04T10:48:24.794151Z,22.4,27.28,-59.63
,2024-09-04T10:48:25.816613Z,-163.7,340.58,136.35
,2024-09-04T10:48:26.77522Z,89.6,-260.8,217.9
,2024-09-04T10:48:27.998855Z,56.4,-60.67,726.01
,2024-09-04T10:48:29.122595Z,-152.47,-478.27,113.95
,2024-09-04T10:48:29.813512Z,-36.5,204.1,236.88
,2024-09-04T10:48:30.797724Z,220.89,-249.21,333.07
,2024-09-04T10:48:31.985259Z,-31.43,492.31,152.16
,2024-09-04T10:48:32.907857Z,169.07,-164,-180.05
,2024-09-04T10:48:33.808344Z,16.72,4.7,12.57
,2024-09-04T10:48:34.956467Z,7.02,-100.04,-45.96
,2024-09-04T10:48:35.995529Z,40.65,21.85,-41.69
,2024-09-04T10:48:36.904952Z,0.06,-0.85,-0.43
,2024-09-04T10:48:37.925183Z,0,-0.73,-0.37
,2024-09-04T10:48:38.844554Z,-0.06,-0.79,-0.43
,2024-09-04T10:48:39.881513Z,-0.12,-0.79,-0.43
,2024-09-04T10:48:40.996797Z,-0.12,-0.79,-0.43
,2024-09-04T10:48:42.021789Z,-0.98,-0.85,-0.43
,2024-09-04T10:48:42.854718Z,-0.24,-0.79,-0.49
,2024-09-04T10:48:44.076657Z,-0.24,-0.79,-0.43
,2024-09-04T10:48:45.401845Z,-0.18,-0.79,-0.43
,2024-09-04T10:48:45.883762Z,-0.31,-0.85,-0.55
,2024-09-04T10:48:46.90417Z,0.06,-0.79,-0.49
,2024-09-04T10:48:47.966269Z,-0.18,-0.85,-0.49
,2024-09-04T10:48:48.983587Z,-0.18,-0.85,-0.43
,2024-09-04T10:48:49.91459Z,-0.24,-0.79,-0.43
,2024-09-04T10:48:51.134146Z,-0.06,-0.85,-0.43
,2024-09-04T10:48:51.925372Z,105.96,40.16,-187.87
,2024-09-04T10:48:52.947404Z,-109.38,-605.29,727.36
,2024-09-04T10:48:53.938799Z,-86.24,-309.88,136.11
,2024-09-04T10:48:54.926907Z,-214.23,-52.61,54.75
,2024-09-04T10:48:56.049318Z,-61.28,-469.97,-15.93
,2024-09-04T10:48:56.969228Z,96.62,-212.16,-102.29
,2024-09-04T10:48:58.097988Z,-27.1,-394.65,-259.89
,2024-09-04T10:48:59.1225Z,-147.4,466.98,190.12
,2024-09-04T10:49:00.044547Z,-22.89,-81.24,35.16
,2024-09-04T10:49:01.486479Z,191.89,-158.2,165.77
,2024-09-04T10:49:01.962686Z,0.06,-70.19,4.52
,2024-09-04T10:49:02.966817Z,-100.16,399.48,453.61
,2024-09-04T10:49:04.003883Z,245.97,46.63,-436.04
,2024-09-04T10:49:05.264948Z,-9.83,-71.53,-86.85
,2024-09-04T10:49:06.087683Z,14.89,-46.57,-58.65
,2024-09-04T10:49:07.110132Z,-0.31,-0.79,-0.43
,2024-09-04T10:49:08.004421Z,-0.24,-0.79,-0.49
,2024-09-04T10:49:09.158706Z,-0.18,-0.79,-0.43
,2024-09-04T10:49:10.024346Z,-0.18,-0.79,-0.43
,2024-09-04T10:49:11.020204Z,-0.24,-0.73,-0.43
,2024-09-04T10:49:12.044415Z,-0.31,-0.79,-0.43
,2024-09-04T10:49:13.041868Z,-0.18,-0.79,-0.43
,2024-09-04T10:49:14.054066Z,-0.18,-0.79,-0.49
,2024-09-04T10:49:15.302183Z,-0.24,-0.79,-0.43
,2024-09-04T10:49:16.04849Z,-0.31,-0.79,-0.43
,2024-09-04T10:49:17.47517Z,-0.24,-0.79,-0.49
,2024-09-04T10:49:18.27993Z,-0.24,-0.79,-0.37
,2024-09-04T10:49:19.398862Z,-0.31,-0.79,-0.43
,2024-09-04T10:49:20.074143Z,-2.14,-15.99,15.62
,2024-09-04T10:49:21.139293Z,50.6,208.01,-67.75
,2024-09-04T10:49:22.099201Z,4.09,-100.71,-156.43
,2024-09-04T10:49:23.122595Z,-13,-99.85,68.66
,2024-09-04T10:49:24.192402Z,23.38,-151.55,-27.77
,2024-09-04T10:49:25.335918Z,82.46,-82.21,57.07
,2024-09-04T10:49:26.153945Z,1.16,6.47,-3.05
,2024-09-04T10:49:27.28239Z,63.78,-175.54,308.65
,2024-09-04T10:49:28.153585Z,-50.05,97.53,-163.57
,2024-09-04T10:49:29.32845Z,-2.08,-0.31,-0.85
,2024-09-04T10:49:30.250161Z,-59.51,-49.07,41.14
,2024-09-04T10:49:31.382354Z,-11.9,12.39,-48.4
,2024-09-04T10:49:32.145677Z,-0.24,-0.79,-0.49
,2024-09-04T10:49:33.552383Z,-0.06,-0.79,-0.49
,2024-09-04T10:49:34.229889Z,0,-0.79,-0.43
,2024-09-04T10:49:35.186791Z,-0.79,-1.04,-0.49
,2024-09-04T10:49:36.191553Z,-0.31,-0.79,-0.43
,2024-09-04T10:49:37.315586Z,-0.31,-0.79,-0.43
,2024-09-04T10:49:38.181983Z,-0.24,-0.79,-0.43
,2024-09-04T10:49:39.266651Z,-0.31,-0.79,-0.43
,2024-09-04T10:49:40.387445Z,-0.31,-0.79,-0.43
,2024-09-04T10:49:41.194296Z,89.66,75.62,38.21
,2024-09-04T10:49:42.416006Z,41.5,333.07,7.45
,2024-09-04T10:49:43.338186Z,79.1,849.06,238.22
,2024-09-04T10:49:44.382299Z,-79.96,-565.67,-322.14
,2024-09-04T10:49:45.40864Z,-201.35,-525.09,-711.79
,2024-09-04T10:49:46.225721Z,-0.49,101.14,393.07
,2024-09-04T10:49:47.228532Z,103.27,-216.31,17.03
,2024-09-04T10:49:48.477568Z,7.69,-60.24,64.76
,2024-09-04T10:49:49.624128Z,169.25,691.65,403.5
,2024-09-04T10:49:50.320067Z,52.19,-305.24,-362.43
,2024-09-04T10:49:51.446632Z,-123.47,0,32.71
,2024-09-04T10:49:52.367926Z,-161.13,-80.81,-92.9
,2024-09-04T10:49:53.270889Z,-4.21,-5,0.24
,2024-09-04T10:49:54.275676Z,52.49,-267.88,261.66
,2024-09-04T10:49:55.337988Z,-192.32,113.46,-5.49
,2024-09-04T10:49:56.361576Z,56.34,-49.56,60.61
,2024-09-04T10:49:57.426367Z,-57.86,-22.16,-76.35
,2024-09-04T10:49:58.409584Z,15.99,-30.27,92.1
,2024-09-04T10:49:59.535985Z,-23.99,-162.29,-39.06
,2024-09-04T10:50:00.357623Z,-5.25,11.9,-40.1
,2024-09-04T10:50:01.42939Z,-4.39,-17.09,-8.85
,2024-09-04T10:50:02.348502Z,42.79,-230.1,293.21
,2024-09-04T10:50:03.323087Z,198.3,-43.09,0.24
,2024-09-04T10:50:04.457696Z,-31.68,173.16,248.96
,2024-09-04T10:50:05.921835Z,-19.65,-47.85,114.32
,2024-09-04T10:50:06.320665Z,-76.48,-98.02,91.86
,2024-09-04T10:50:07.34639Z,-0.31,-2.5,8.85
,2024-09-04T10:50:08.505887Z,-0.18,0.92,2.81
,2024-09-04T10:50:09.454833Z,64.33,-251.65,-243.41
,2024-09-04T10:50:10.354537Z,16.3,15.99,36.93
,2024-09-04T10:50:11.365829Z,89.6,-190,593.32
,2024-09-04T10:50:12.377499Z,9.64,-26,-63.66
,2024-09-04T10:50:13.428692Z,-62.38,-384.7,-175.84
,2024-09-04T10:50:14.419592Z,-1.28,-190.67,161.32
,2024-09-04T10:50:15.394488Z,-57.56,112,-19.65
,2024-09-04T10:50:16.526046Z,-157.59,585.45,383.73
,2024-09-04T10:50:17.433578Z,28.26,-69.64,-34.97
,2024-09-04T10:50:18.411075Z,-355.29,-220.95,353.64
,2024-09-04T10:50:19.693909Z,-9.64,-49.38,66.96
,2024-09-04T10:50:20.405176Z,-39.49,450.74,-270.32
,2024-09-04T10:50:21.862408Z,16.48,18.37,185.42
,2024-09-04T10:50:22.437243Z,705.69,-156.86,106.2
,2024-09-04T10:50:23.601417Z,155.27,-671.81,-167.48
,2024-09-04T10:50:24.523378Z,-207.46,-344.6,24.66
,2024-09-04T10:50:25.647364Z,46.02,45.29,95.7
,2024-09-04T10:50:26.867315Z,-81.24,-163.51,-618.35
,2024-09-04T10:50:27.46884Z,358.34,-670.59,-318.54
,2024-09-04T10:50:28.467148Z,-346.98,174.26,440.06
