Timestamp,Distance (cm)
1722230170.805695,991.93
1722230170.9652228,996.37
1722230171.080736,254.1
1722230171.240315,996.34
1722230171.355741,251.7
1722230171.515428,996.23
1722230171.6745348,996.28
1722230171.834425,996.18
1722230171.993757,996.23
1722230172.1533172,996.3
1722230172.312929,996.27
1722230172.47246,996.28
1722230172.6319518,996.1
1722230172.791465,996.18
1722230172.950995,996.18
1722230173.110497,996.32
1722230173.271361,996.1
1722230173.42957,996.3
1722230173.589092,996.23
1722230173.7486222,996.32
1722230173.908132,996.23
1722230174.023438,252.99
1722230174.182883,996.18
1722230174.285138,9.44
1722230174.3862882,7.53
1722230174.4896598,6.44
1722230174.592424,5.34
1722230174.693794,11.14
1722230174.846953,996.3
1722230174.949124,9.4
1722230175.050179,7.62
1722230175.150593,9.74
1722230175.309275,996.37
1722230175.412061,16.97
1722230175.516489,16.37
1722230175.621284,7.91
1722230175.7219672,10.11
1722230175.82607,7.26
1722230175.92863,8.98
1722230176.075736,996.28
1722230176.178394,4.95
1722230176.280599,9.77
1722230176.382795,11.14
1722230176.484185,13.5
1722230176.585662,11.97
1722230176.691017,13.92
1722230176.795556,9.4
1722230176.8984299,6.95
1722230177.003849,10.51
1722230177.104981,11.95
1722230177.245259,996.35
1722230177.4047842,996.39
1722230177.564522,996.46
1722230177.7237859,996.32
1722230177.8832798,996.51
1722230178.042899,996.74
1722230178.2022579,996.71
1722230178.3073542,5.63
1722230178.412649,8.76
1722230178.5159218,10.88
1722230178.620422,9.52
1722230178.725159,12.22
1722230178.866722,996.37
1722230179.026222,996.34
1722230179.12883,6.63
1722230179.234151,6.19
1722230179.339474,5.34
1722230179.444764,10.85
1722230179.545516,11.27
1722230179.646154,15.79
1722230179.751532,7.99
1722230179.856277,14.18
1722230179.993678,996.23
1722230180.1532428,996.23
1722230180.2586482,11.54
1722230180.362808,11.14
1722230180.468184,5.86
1722230180.56937,11.29
1722230180.716613,996.46
1722230180.876076,996.51
1722230180.980365,10.45
1722230181.1366742,996.11
1722230181.239292,13.75
1722230181.397578,996.17
1722230181.503009,7.02
1722230181.6578948,996.05
1722230181.8173451,996.27
1722230181.919971,9.86
1722230182.0268018,11.71
1722230182.179036,996.52
1722230182.338271,996.56
1722230182.443521,9.91
1722230182.5986822,996.54
1722230182.756309,960.24
1722230182.861266,13.97
1722230182.9626791,16.47
1722230183.0679731,10.71
1722230183.2196748,996.3
1722230183.379373,996.32
1722230183.538744,996.27
1722230183.698097,996.32
1722230183.857703,996.32
1722230183.9587631,7.72
1722230184.11819,996.34
1722230184.277758,996.28
1722230184.437175,996.3
1722230184.596656,996.27
1722230184.756073,996.3
1722230184.915765,996.25
1722230185.0197089,10.88
1722230185.120752,7.04
1722230185.226172,8.21
1722230185.329058,5.93
1722230185.431947,3.5
1722230185.534276,12.22
1722230185.6803432,996.22
1722230185.840099,996.27
1722230185.999636,996.34
1722230186.1039538,7.38
1722230186.206618,11.87
1722230186.36111,996.28
1722230186.520642,996.2
1722230186.6806662,996.3
1722230186.782188,10.95
1722230186.887542,10.28
1722230186.9886122,8.07
1722230187.090473,6.37
1722230187.196054,14.01
1722230187.300471,6.37
1722230187.4057531,8.07
1722230187.511158,5.68
1722230187.611996,11.32
1722230187.713944,7.46
1722230187.84916,996.25
1722230187.9499981,10.78
1722230188.109687,996.23
1722230188.269147,996.27
1722230188.373297,10.78
1722230188.530218,996.11
1722230188.6892211,996.27
1722230188.848715,996.1
1722230189.0082529,996.28
1722230189.1677802,996.25
1722230189.327304,996.34
1722230189.486828,996.39
1722230189.646467,996.37
1722230189.8060899,996.4
1722230189.965345,996.34
1722230190.124864,996.3
1722230190.2843788,996.3
1722230190.444005,996.3
1722230190.6035872,996.3
1722230190.763048,996.3
1722230190.922524,996.3
1722230191.082077,996.32
1722230191.2415519,996.32
1722230191.401108,996.4
1722230191.5606568,996.18
1722230191.6619442,13.58
1722230191.821323,996.35
1722230191.92677,13.67
1722230192.082182,996.42
1722230192.2416341,996.23
1722230192.401207,996.2
1722230192.5607228,996.11
1722230192.7201111,996.25
1722230192.879903,996.25
1722230193.039291,996.37
1722230193.198761,996.25
1722230193.358369,996.18
1722230193.517847,996.32
1722230193.677208,996.32
1722230193.836831,996.27
1722230193.996355,996.28
1722230194.155859,996.37
1722230194.315418,996.32
1722230194.474957,996.39
1722230194.577399,8.41
1722230194.6782231,11.46
1722230194.83653,996.34
1722230194.9959838,996.32
1722230195.100485,10.71
1722230195.256528,996.28
1722230195.3607621,8.99
1722230195.5169432,996.28
1722230195.620432,10.71
1722230195.7258098,8.24
1722230195.828053,7.82
1722230195.9310741,7.39
1722230196.0318432,12.65
1722230196.136126,12.22
1722230196.2824051,996.28
1722230196.441976,996.27
1722230196.601544,996.28
1722230196.761012,996.23
1722230196.920634,996.1
1722230197.080013,996.32
1722230197.239489,996.23
1722230197.399168,996.35
1722230197.5009868,6.03
1722230197.601922,8.24
1722230197.7044291,12.05
1722230197.808293,4.32
1722230197.9094589,8.55
1722230198.063029,996.28
1722230198.2225122,996.28
1722230198.325521,10.56
1722230198.430964,8.98
1722230198.533261,8.13
1722230198.635181,7.29
1722230198.7360399,6.02
1722230198.837088,7.48
1722230198.941611,8.24
1722230199.042882,7.91
1722230199.189091,996.23
1722230199.292491,5.17
1722230199.396935,7.48
1722230199.497868,9.27
1722230199.651113,996.25
1722230199.81048,996.28
1722230199.97015,996.34
1722230200.0721211,8.4
1722230200.1729012,6.61
1722230200.331407,996.17
1722230200.491018,996.32
1722230200.5933912,9.27
1722230200.697527,11.29
1722230200.852583,996.28
1722230200.9537878,4.66
1722230201.11278,996.37
1722230201.272243,996.27
1722230201.375659,7.89
1722230201.4810722,8.55
1722230201.633448,996.39
1722230201.736091,11.97
1722230201.838757,9.27
1722230201.9420109,9.44
1722230202.045606,7.74
1722230202.196939,996.35
1722230202.35667,996.27
1722230202.51615,996.35
1722230202.675466,996.37
1722230202.776874,9.52
1722230202.878252,9.86
1722230202.983336,12.56
1722230203.138378,996.23
1722230203.297687,996.25
1722230203.398547,7.82
1722230203.499512,7.31
1722230203.6004531,8.36
1722230203.7600179,996.28
1722230203.9195368,996.15
1722230204.021893,10.86
1722230204.123671,8.02
1722230204.227392,7.28
1722230204.3818471,996.39
1722230204.486552,12.22
1722230204.587507,13.99
1722230204.687878,8.89
1722230204.844804,996.32
1722230205.00417,996.37
1722230205.1637812,996.37
1722230205.264724,6.46
1722230205.365677,7.53
1722230205.470908,10.64
1722230205.5735621,14.18
1722230205.72711,996.35
1722230205.8867211,996.42
1722230205.990592,9.44
1722230206.147331,996.39
1722230206.252689,7.19
1722230206.354329,7.38
1722230206.4547079,10.45
1722230206.555232,10.98
1722230206.660568,7.36
1722230206.764718,8.33
1722230206.8697238,11.63
1722230206.9745631,252.06
1722230207.128793,996.28
1722230207.28821,996.32
1722230207.44781,996.32
1722230207.608025,996.39
1722230207.766656,996.39
1722230207.926454,996.28
1722230208.085906,996.46
1722230208.245255,996.3
1722230208.404969,996.34
1722230208.564459,996.27
1722230208.724076,996.34
1722230208.883455,996.39
1722230209.0429828,996.39
1722230209.202545,996.3
1722230209.361994,996.27
1722230209.521545,996.27
1722230209.681097,996.22
1722230209.840618,996.34
1722230209.9559522,255.03
1722230210.115766,996.32
1722230210.275208,996.32
1722230210.4347992,996.42
1722230210.594184,996.27
1722230210.7536871,996.22
1722230210.86915,253.35
1722230211.028778,996.37
1722230211.188166,996.46
1722230211.303623,254.2
1722230211.4192839,255.73
1722230211.5788229,996.32
1722230211.738484,996.22
1722230211.843263,8.5
1722230211.9987898,996.34
1722230212.158331,996.23
1722230212.2636049,8.38
1722230212.418753,996.39
1722230212.5233421,11.71
1722230212.67967,996.2
1722230212.785119,7.04
1722230212.886246,13.58
1722230213.040899,996.32
1722230213.200386,996.3
1722230213.301813,9.86
1722230213.460981,996.73
1722230213.56419,11.19
1722230213.721577,996.73
1722230213.8810382,996.69
1722230214.040596,996.64
1722230214.145994,6.22
1722230214.300902,996.42
1722230214.460358,996.71
1722230214.619838,996.73
1722230214.723697,13.12
1722230214.8283432,10.76
1722230214.9337559,6.27
1722230215.036536,8.06
1722230215.137911,11.03
1722230215.284168,996.32
1722230215.443954,996.32
1722230215.603536,996.28
1722230215.762816,996.4
1722230215.922461,996.42
1722230216.0819788,996.39
1722230216.241558,996.44
1722230216.400963,996.46
1722230216.5605729,996.25
1722230216.7201111,996.34
1722230216.879755,996.35
1722230217.039131,996.32
1722230217.198646,996.3
1722230217.35817,996.32
1722230217.517726,996.28
1722230217.677206,996.17
1722230217.836611,996.25
1722230217.9963222,996.22
1722230218.1116118,253.4
1722230218.271327,996.18
1722230218.430788,996.37
1722230218.546141,252.99
1722230218.7056918,996.3
1722230218.821053,252.99
1722230218.9314392,168.37
1722230219.091073,996.34
1722230219.2505898,996.27
1722230219.353143,8.06
1722230219.457379,12.05
1722230219.568046,254.52
1722230219.727385,996.3
1722230219.887062,996.32
1722230220.002675,255.78
1722230220.118438,254.81
1722230220.233805,256.21
1722230220.349376,255.78
1722230220.509019,996.28
1722230220.668378,996.35
1722230220.7841249,256.6
1722230220.944851,996.34
1722230221.102901,996.2
1722230221.2626932,996.49
1722230221.422007,996.17
1722230221.581747,996.3
1722230221.683249,6.61
1722230221.788673,5.18
1722230221.8892438,5.68
1722230221.990983,6.19
1722230222.094514,6.78
1722230222.245055,996.22
1722230222.3501801,14.94
1722230222.4547598,12.65
1722230222.556652,6.97
1722230222.6605692,11.37
1722230222.765172,7.48
1722230222.8704882,10.8
1722230222.974625,6.63
1722230223.111731,996.32
1722230223.271224,996.27
1722230223.375133,10.54
1722230223.480557,12.14
1722230223.584641,7.57
1722230223.689203,8.41
1722230223.7946172,9.6
1722230223.896512,6.53
1722230223.9991832,11.36
1722230224.1014621,12.14
1722230224.238668,996.27
1722230224.398133,996.05
1722230224.4992929,11.12
1722230224.600705,7.17
1722230224.705025,9.71
1722230224.810467,12.14
1722230224.9136808,6.87
1722230225.018968,6.87
1722230225.1243148,11.02
1722230225.2291892,10.93
1722230225.336046,500.23
1722230225.495605,996.35
1722230225.601365,9.21
1722230225.703881,7.91
1722230225.808728,10.28
1722230225.911988,10.11
1722230226.016417,9.94
1722230226.121772,6.89
1722230226.224113,8.33
1722230226.361731,996.37
1722230226.46709,10.68
1722230226.570087,11.68
1722230226.675049,11.59
1722230226.7769248,10.8
1722230226.8786051,6.95
1722230226.984062,8.04
1722230227.127223,996.35
1722230227.2325592,9.44
1722230227.337997,8.24
1722230227.4434822,7.34
1722230227.5460842,12.31
1722230227.64835,8.16
1722230227.7916842,996.34
1722230227.893597,8.5
1722230228.05195,996.32
1722230228.156935,6.61
1722230228.2602282,7.53
1722230228.413187,996.32
1722230228.5162802,13.67
1722230228.673955,996.25
1722230228.833419,996.27
1722230228.9929862,996.25
1722230229.09802,12.9
1722230229.2034009,10.54
1722230229.3040798,9.18
1722230229.4094138,7.26
1722230229.51359,14.09
1722230229.615705,12.39
1722230229.7178938,15.79
1722230229.821974,12.44
1722230229.961408,996.39
1722230230.120953,996.3
1722230230.221958,12.22
1722230230.324008,11.65
1722230230.424315,10.54
1722230230.525493,7.74
1722230230.6844318,996.23
1722230230.7864141,7.51
1722230230.8897438,14.52
1722230230.9926999,11.53
1722230231.0980911,6.95
1722230231.2007759,10.42
1722230231.301323,8.57
1722230231.406739,8.53
1722230231.512148,8.59
1722230231.617297,10.71
1722230231.718692,5.1
1722230231.8223581,5.51
1722230231.954459,996.05
1722230232.1140978,995.95
1722230232.273369,996.35
1722230232.3751712,6.46
1722230232.476484,11.71
1722230232.581881,16.3
1722230232.6833029,10.76
1722230232.784224,15.28
1722230232.8869529,5.17
1722230232.9891899,9.4
1722230233.1403542,996.11
1722230233.299855,996.4
1722230233.4044569,7.89
1722230233.50492,5.76
1722230233.6076329,10.13
1722230233.712321,9.32
1722230233.862921,996.13
1722230233.968329,46.26
1722230234.125719,996.3
1722230234.226749,7.89
1722230234.332095,9.74
1722230234.437403,12.26
1722230234.5880141,996.42
1722230234.747766,996.39
1722230234.907309,996.3
1722230235.0097542,5.54
1722230235.1111271,8.53
1722230235.2682,996.28
1722230235.4277902,996.22
1722230235.529705,8.55
1722230235.6327329,9.49
1722230235.734735,8.72
1722230235.837913,13.58
1722230235.940351,11.05
1722230236.092546,996.3
1722230236.251942,996.28
1722230236.411318,996.35
1722230236.571043,996.32
1722230236.673158,6.8
1722230236.778123,6.78
1722230236.8833122,14.01
1722230237.033452,996.35
1722230237.1382,11.78
1722230237.239389,10.08
1722230237.343869,42.5
1722230237.4978828,996.4
1722230237.657538,996.35
1722230237.760308,10.59
1722230237.8656142,44.03
1722230237.968821,42.08
1722230238.124038,996.37
1722230238.2271051,46.43
1722230238.3863978,996.32
1722230238.546035,996.32
1722230238.651146,8.14
1722230238.755463,10.63
1722230238.859387,44.13
1722230238.9615529,43.47
1722230239.066907,41.43
1722230239.216552,996.37
1722230239.376126,996.4
1722230239.535557,996.46
1722230239.6406689,10.17
1722230239.796154,996.3
1722230239.897994,12.15
1722230240.002337,12.14
1722230240.105299,12.21
1722230240.210848,10.17
1722230240.315114,13.16
1722230240.415879,11.65
1722230240.5173178,7.57
1722230240.622197,7.7
1722230240.724305,8.55
1722230240.826205,10.25
1722230240.966099,996.32
1722230241.1255739,996.35
1722230241.285326,996.37
1722230241.389376,12.56
1722230241.545928,996.42
1722230241.705407,996.39
1722230241.8106408,7.29
1722230241.955512,824.53
1722230242.115118,996.17
1722230242.216316,7.48
1722230242.3191092,14.35
1722230242.424344,12.39
1722230242.577617,996.15
1722230242.737198,996.3
1722230242.8968341,996.3
1722230242.997754,9.69
1722230243.157396,996.34
1722230243.260502,8.55
1722230243.4176881,996.23
1722230243.577346,996.27
1722230243.736796,996.44
1722230243.896375,996.44
1722230244.055705,996.44
1722230244.215395,996.49
1722230244.375059,996.35
1722230244.534415,996.42
1722230244.639771,7.79
1722230244.744749,7.46
1722230244.849202,10.61
1722230244.9965389,996.22
1722230245.099842,7.72
1722230245.20515,9.57
1722230245.35817,996.22
1722230245.5177221,996.2
1722230245.67709,996.15
1722230245.836478,996.03
1722230245.996032,996.23
1722230246.155404,996.01
1722230246.314958,996.2
1722230246.474545,996.17
1722230246.6340759,996.25
1722230246.793552,996.22
1722230246.952951,996.54
1722230247.112609,996.4
1722230247.2720928,996.35
1722230247.431633,996.32
1722230247.591163,996.32
1722230247.750745,996.34
1722230247.910372,996.32
1722230248.0698502,996.3
1722230248.2292721,996.4
1722230248.388913,996.32
1722230248.5484412,996.35
1722230248.707975,996.32
1722230248.8673751,996.34
1722230249.027073,996.32
1722230249.1865442,996.4
1722230249.345967,996.46
1722230249.505579,996.39
1722230249.6649752,996.44
1722230249.824499,996.37
1722230249.984137,996.34
1722230250.143836,996.2
1722230250.303194,996.34
1722230250.462759,996.25
1722230250.622266,996.4
1722230250.781857,996.34
1722230250.9412491,996.28
1722230251.100849,996.32
1722230251.260242,996.27
1722230251.419839,996.22
1722230251.579264,996.23
1722230251.73884,996.34
1722230251.89824,996.27
1722230252.058155,996.25
1722230252.217294,996.32
1722230252.377206,996.27
1722230252.5363998,996.27
1722230252.695816,996.32
1722230252.855598,996.37
1722230253.014833,996.3
1722230253.1745868,996.3
1722230253.334163,996.3
1722230253.4935622,996.22
1722230253.6529448,996.32
1722230253.8126888,996.22
1722230253.9720378,996.35
1722230254.1316931,996.2
1722230254.2910268,996.34
1722230254.450565,996.39
1722230254.5518441,7.8
1722230254.653035,10.06
1722230254.758443,12.9
1722230254.861599,7.5
1722230255.014126,996.35
1722230255.17362,996.23
1722230255.332866,996.49
1722230255.492676,996.4
1722230255.652273,996.51
1722230255.811875,996.46
1722230255.971668,996.37
1722230256.130558,996.34
1722230256.2904892,996.4
1722230256.449934,996.54
1722230256.6094809,996.52
1722230256.768856,996.51
1722230256.928544,996.49
1722230257.087923,996.49
1722230257.2475631,996.37
1722230257.4070148,996.47
1722230257.566608,996.39
1722230257.7260401,996.44
1722230257.885542,996.4
1722230257.9872909,7.04
1722230258.0943549,130.66
1722230258.2540648,996.54
1722230258.4136078,996.49
1722230258.518996,6.53
1722230258.6243892,6.53
1722230258.727262,6.95
1722230258.832491,7.65
1722230258.936048,12.65
1722230259.0404081,12.75
1722230259.1787672,996.47
1722230259.280361,13.92
1722230259.3857331,9.44
1722230259.540333,996.37
1722230259.699727,996.52
1722230259.8593578,996.37
1722230260.018781,996.46
1722230260.178423,996.37
1722230260.3378072,996.44
1722230260.497368,996.34
1722230260.656953,996.37
1722230260.816451,996.39
1722230260.97595,996.39
1722230261.0767272,5.51
1722230261.1777222,7.14
1722230261.337375,996.4
1722230261.49702,996.46
1722230261.597735,10.54
1722230261.7574558,996.57
1722230261.917217,996.56
1722230262.0765598,996.3
1722230262.2359822,996.4
1722230262.3957791,996.27
1722230262.497497,11.81
1722230262.597895,11.29
1722230262.757331,996.44
