timestamp,data-value
2024:09:03:12:21:33,-0.0275726318359375
2024:09:03:12:21:57,-0.025177001953125
2024:09:03:12:22:00,-0.03076171875
2024:09:03:12:22:03,-0.0307769775390625
2024:09:03:12:22:09,-0.031494140625
2024:09:03:12:22:13,-0.031005859375
2024:09:03:12:22:16,-0.031768798828125
2024:09:03:12:22:19,-0.0316162109375
2024:09:03:12:22:25,-0.035919189453125
2024:09:03:12:22:28,-0.03485107421875
2024:09:03:12:22:31,-0.0392303466796875
2024:09:03:12:22:39,-0.034942626953125
2024:09:03:12:22:42,-0.0358734130859375
2024:09:03:12:22:45,-0.0389404296875
2024:09:03:12:22:51,-0.035552978515625
2024:09:03:12:22:55,-0.0385284423828125
2024:09:03:12:22:58,-0.0370025634765625
2024:09:03:12:23:06,-0.034027099609375
2024:09:03:12:23:09,-0.0366973876953125
2024:09:03:12:23:20,-0.03582763671875
2024:09:03:12:23:35,-0.030242919921875
2024:09:03:12:23:38,-0.0517425537109375
2024:09:03:12:23:41,-0.0317230224609375
2024:09:03:12:23:49,-0.0339202880859375
2024:09:03:12:23:52,-0.0373077392578125
2024:09:03:12:23:55,-0.0345916748046875
2024:09:03:12:24:03,-0.03448486328125
2024:09:03:12:24:06,-0.035797119140625
2024:09:03:12:24:09,-0.0361175537109375
2024:09:03:12:24:16,-0.0336456298828125
2024:09:03:12:24:19,-0.0500946044921875
2024:09:03:12:24:22,-0.036102294921875
2024:09:03:12:24:29,-0.0380401611328125
2024:09:03:12:24:32,-0.0359344482421875
2024:09:03:12:24:35,-0.03448486328125
2024:09:03:12:24:42,-0.03607177734375
2024:09:03:12:24:45,-0.039306640625
2024:09:03:12:24:49,-0.03729248046875
2024:09:03:12:24:52,-0.03411865234375
2024:09:03:12:24:55,-0.0393829345703125
2024:09:03:12:24:58,-0.0331878662109375
2024:09:03:12:25:01,-0.0362396240234375
2024:09:03:12:25:07,-0.0350341796875
2024:09:03:12:25:11,-0.034576416015625
2024:09:03:12:25:14,-0.0349578857421875
2024:09:03:12:25:23,-0.03778076171875
2024:09:03:12:25:27,-0.0362396240234375
2024:09:03:12:25:30,-0.038360595703125
2024:09:03:12:25:33,-0.0337982177734375
2024:09:03:12:25:39,-0.0411834716796875
2024:09:03:12:25:42,-0.0333404541015625
2024:09:03:12:25:45,-0.036773681640625
2024:09:03:12:25:51,-0.033966064453125
2024:09:03:12:25:55,-0.0347900390625
2024:09:03:12:25:58,-0.0306549072265625
2024:09:03:12:26:05,-0.035552978515625
2024:09:03:12:26:09,-0.03472900390625
2024:09:03:12:26:12,-0.0328369140625
2024:09:03:12:26:20,-0.0440826416015625
2024:09:03:12:26:33,-0.0349578857421875
2024:09:03:12:26:46,-0.033233642578125
2024:09:03:12:26:50,-0.0392303466796875
2024:09:03:12:26:53,-0.020782470703125
2024:09:03:12:26:56,-0.0355987548828125
2024:09:03:12:26:59,-0.035858154296875
2024:09:03:12:27:02,-0.0360870361328125
2024:09:03:12:27:05,-0.0337677001953125
2024:09:03:12:27:10,-0.03436279296875
2024:09:03:12:27:14,-0.0366058349609375
2024:09:03:12:27:17,-0.03509521484375
2024:09:03:12:27:20,-0.033050537109375
2024:09:03:12:27:23,-0.035247802734375
2024:09:03:12:27:26,-0.033538818359375
2024:09:03:12:27:29,-0.034820556640625
2024:09:03:12:27:36,-0.0359954833984375
2024:09:03:12:27:39,-0.0355987548828125
2024:09:03:12:27:42,-0.0359344482421875
2024:09:03:12:27:49,-0.036041259765625
2024:09:03:12:27:53,-0.036407470703125
2024:09:03:12:27:56,-0.03497314453125
2024:09:03:12:28:04,-0.04132080078125
2024:09:03:12:28:07,-0.036102294921875
2024:09:03:12:28:10,-0.0369415283203125
2024:09:03:12:28:18,-0.0359954833984375
2024:09:03:12:28:21,-0.0346527099609375
2024:09:03:12:28:24,-0.036834716796875
2024:09:03:12:28:31,-0.030364990234375
2024:09:03:12:28:34,-0.0365753173828125
2024:09:03:12:28:37,-0.035797119140625
2024:09:03:12:28:45,-0.0383758544921875
2024:09:03:12:28:48,-0.01629638671875
2024:09:03:12:28:51,-0.0359344482421875
2024:09:03:12:28:58,-0.0363922119140625
2024:09:03:12:29:01,-0.0347900390625
2024:09:03:12:29:04,-0.0379791259765625
2024:09:03:12:29:11,-0.0362396240234375
2024:09:03:12:29:14,-0.034698486328125
2024:09:03:12:29:17,-0.035003662109375
2024:09:03:12:29:30,-0.0378875732421875
2024:09:03:12:29:44,-0.0328216552734375
2024:09:03:12:29:47,-0.035736083984375
2024:09:03:12:29:50,-0.034576416015625
2024:09:03:12:29:53,-0.034210205078125
2024:09:03:12:29:56,-0.0362396240234375
2024:09:03:12:29:59,-0.0368804931640625
2024:09:03:12:30:02,-0.0349273681640625
2024:09:03:12:30:08,-0.0347442626953125
2024:09:03:12:30:12,-0.032928466796875
2024:09:03:12:30:15,-0.03582763671875
2024:09:03:12:30:22,-0.0363006591796875
2024:09:03:12:30:25,-0.0394744873046875
2024:09:03:12:30:28,-0.0330810546875
2024:09:03:12:30:36,-0.0362091064453125
2024:09:03:12:30:39,-0.036865234375
2024:09:03:12:30:42,-0.0347137451171875
2024:09:03:12:30:49,-0.033599853515625
2024:09:03:12:30:52,-0.038116455078125
2024:09:03:12:30:55,-0.0365753173828125
2024:09:03:12:31:02,-0.0285491943359375
2024:09:03:12:31:06,-0.0083770751953125
2024:09:03:12:31:09,-0.031005859375
2024:09:03:12:31:16,-0.0317840576171875
2024:09:03:12:31:19,-0.0316925048828125
2024:09:03:12:31:22,-0.0330963134765625
2024:09:03:12:31:31,-0.032684326171875
2024:09:03:12:31:34,-0.0311431884765625
2024:09:03:12:31:37,-0.0332489013671875
2024:09:03:12:31:44,-0.0330963134765625
2024:09:03:12:31:47,-0.0319671630859375
2024:09:03:12:31:50,-0.0266265869140625
2024:09:03:12:31:56,-0.0440521240234375
2024:09:03:12:32:00,-0.0259857177734375
2024:09:03:12:32:03,-0.031768798828125
2024:09:03:12:32:12,-0.0327606201171875
2024:09:03:12:32:15,-0.0328826904296875
2024:09:03:12:32:18,-0.03277587890625
2024:09:03:12:32:24,-0.0297088623046875
2024:09:03:12:32:27,-0.03167724609375
2024:09:03:12:32:30,-0.0317535400390625
2024:09:03:12:32:36,-0.0299072265625
2024:09:03:12:32:40,-0.0317840576171875
2024:09:03:12:32:43,-0.031707763671875
2024:09:03:12:32:46,-0.0324554443359375
2024:09:03:12:32:51,-0.033660888671875
2024:09:03:12:32:55,-0.0312652587890625
2024:09:03:12:32:58,-0.030120849609375
2024:09:03:12:33:04,-0.0326080322265625
2024:09:03:12:33:08,-0.0341796875
2024:09:03:12:33:11,-0.0335540771484375
2024:09:03:12:33:14,-0.033416748046875
2024:09:03:12:33:19,-0.0322723388671875
2024:09:03:12:33:23,-0.03155517578125
2024:09:03:12:33:26,-0.036590576171875
2024:09:03:12:33:31,-0.0322418212890625
2024:09:03:12:33:35,-0.031219482421875
2024:09:03:12:33:38,-0.030242919921875
2024:09:03:12:33:41,-0.0324554443359375
