timestamp,data-value
2024:09:03:12:21:33,-0.9986114501953125
2024:09:03:12:21:58,-0.9967041015625
2024:09:03:12:22:01,-0.9959716796875
2024:09:03:12:22:08,-0.9958648681640625
2024:09:03:12:22:10,-0.996124267578125
2024:09:03:12:22:14,-0.9966583251953125
2024:09:03:12:22:17,-0.996978759765625
2024:09:03:12:22:26,-0.995819091796875
2024:09:03:12:22:29,-0.9949951171875
2024:09:03:12:22:32,-0.99444580078125
2024:09:03:12:22:40,-0.996185302734375
2024:09:03:12:22:43,-0.99639892578125
2024:09:03:12:22:46,-0.9959259033203125
2024:09:03:12:22:52,-0.994110107421875
2024:09:03:12:22:56,-0.9955596923828125
2024:09:03:12:22:59,-0.9953765869140625
2024:09:03:12:23:07,-0.99725341796875
2024:09:03:12:23:10,-0.9938201904296875
2024:09:03:12:23:21,-0.9948272705078125
2024:09:03:12:23:36,-0.997222900390625
2024:09:03:12:23:39,-0.9952239990234375
2024:09:03:12:23:42,-0.9951019287109375
2024:09:03:12:23:50,-0.9960784912109375
2024:09:03:12:23:53,-0.99615478515625
2024:09:03:12:23:56,-0.9951629638671875
2024:09:03:12:24:04,-0.9965667724609375
2024:09:03:12:24:07,-0.996246337890625
2024:09:03:12:24:10,-0.9954071044921875
2024:09:03:12:24:17,-0.9950408935546875
2024:09:03:12:24:20,-0.9957733154296875
2024:09:03:12:24:23,-0.994781494140625
2024:09:03:12:24:30,-0.9957733154296875
2024:09:03:12:24:33,-0.99566650390625
2024:09:03:12:24:36,-0.9970550537109375
2024:09:03:12:24:43,-0.9944610595703125
2024:09:03:12:24:46,-0.9972686767578125
2024:09:03:12:24:50,-0.9961700439453125
2024:09:03:12:24:53,-0.9961395263671875
2024:09:03:12:24:56,-0.9971466064453125
2024:09:03:12:24:59,-0.9964141845703125
2024:09:03:12:25:08,-0.995269775390625
2024:09:03:12:25:12,-0.9952850341796875
2024:09:03:12:25:15,-0.997467041015625
2024:09:03:12:25:24,-0.9962158203125
2024:09:03:12:25:28,-0.9962310791015625
2024:09:03:12:25:31,-0.9949493408203125
2024:09:03:12:25:40,-0.9961700439453125
2024:09:03:12:25:43,-0.99432373046875
2024:09:03:12:25:46,-0.994293212890625
2024:09:03:12:25:52,-0.9959259033203125
2024:09:03:12:25:56,-0.9950103759765625
2024:09:03:12:25:59,-0.9967041015625
2024:09:03:12:26:06,-0.9970245361328125
2024:09:03:12:26:10,-0.996307373046875
2024:09:03:12:26:13,-0.9958038330078125
2024:09:03:12:26:21,-0.996734619140625
2024:09:03:12:26:34,-0.9950408935546875
2024:09:03:12:26:47,-0.9967803955078125
2024:09:03:12:26:51,-0.9970550537109375
2024:09:03:12:26:54,-0.99676513671875
2024:09:03:12:26:57,-0.99627685546875
2024:09:03:12:27:00,-0.996795654296875
2024:09:03:12:27:03,-0.9964752197265625
2024:09:03:12:27:06,-0.9945831298828125
2024:09:03:12:27:11,-0.9974365234375
2024:09:03:12:27:15,-0.99664306640625
2024:09:03:12:27:18,-0.99578857421875
2024:09:03:12:27:21,-0.99530029296875
2024:09:03:12:27:24,-0.996307373046875
2024:09:03:12:27:27,-0.996124267578125
2024:09:03:12:27:30,-0.9952392578125
2024:09:03:12:27:37,-0.9962921142578125
2024:09:03:12:27:40,-0.9963836669921875
2024:09:03:12:27:43,-0.99749755859375
2024:09:03:12:27:50,-0.997650146484375
2024:09:03:12:27:54,-0.99530029296875
2024:09:03:12:27:57,-0.9957733154296875
