time,value
2024-09-02T14:37:47.014007355Z,{"lat":-37.82206797889563,"lon":145.11369093180963}
2024-09-02T14:37:47.99812592Z,{"lat":-37.82206797889563,"lon":145.11369093180963}
2024-09-02T14:37:49.021139015Z,{"lat":-37.82212218273228,"lon":145.11370997889443}
2024-09-02T14:37:50.060019016Z,{"lat":-37.82212218273228,"lon":145.11370997889443}
2024-09-02T14:37:51.092493221Z,{"lat":-37.82212218273228,"lon":145.11370997889443}
2024-09-02T14:37:52.251139261Z,{"lat":-37.82212218273228,"lon":145.11370997889443}
2024-09-02T14:37:53.119927506Z,{"lat":-37.82212218273228,"lon":145.11370997889443}
2024-09-02T14:37:54.135957224Z,{"lat":-37.82212218273228,"lon":145.11370997889443}
2024-09-02T14:37:55.152250272Z,{"lat":-37.82212218273228,"lon":145.11370997889443}
2024-09-02T14:37:56.169946771Z,{"lat":-37.82212218273228,"lon":145.11370997889443}
2024-09-02T14:37:57.187704508Z,{"lat":-37.822057181073184,"lon":145.1136961487542}
2024-09-02T14:37:58.196683785Z,{"lat":-37.82205877363479,"lon":145.11369514292582}
2024-09-02T14:37:59.213792206Z,{"lat":-37.82206447332894,"lon":145.11369262835487}
2024-09-02T14:38:00.227598995Z,{"lat":-37.82206736508554,"lon":145.11369078433617}
2024-09-02T14:38:01.245890221Z,{"lat":-37.82206736508568,"lon":145.11369078433617}
2024-09-02T14:38:02.259747393Z,{"lat":-37.82207352578451,"lon":145.11369447237357}
2024-09-02T14:38:03.274162622Z,{"lat":-37.82207474116047,"lon":145.11369564584}
2024-09-02T14:38:04.290560625Z,{"lat":-37.82207574698886,"lon":145.11369698694452}
2024-09-02T14:38:05.308507491Z,{"lat":-37.822077213821906,"lon":145.11369849568712}
2024-09-02T14:38:06.322843533Z,{"lat":-37.822079644573826,"lon":145.11369899860128}
2024-09-02T14:38:07.338859663Z,{"lat":-37.82207972839286,"lon":145.11369941769644}
2024-09-02T14:38:08.355136632Z,{"lat":-37.82208031512608,"lon":145.113700926439}
2024-09-02T14:38:09.36681165Z,{"lat":-37.82207993794042,"lon":145.11370109407707}
2024-09-02T14:38:10.382836346Z,{"lat":-37.82207981221189,"lon":145.11370134553417}
2024-09-02T14:38:11.401408722Z,{"lat":-37.82207943502625,"lon":145.11370000442966}
2024-09-02T14:38:12.414035977Z,{"lat":-37.82208119522591,"lon":145.11370201608642}
2024-09-02T14:38:13.429375056Z,{"lat":-37.82208140477349,"lon":145.11370293809577}
2024-09-02T14:38:14.447729847Z,{"lat":-37.82209029214642,"lon":145.11370768965642}
2024-09-02T14:38:15.46007853Z,{"lat":-37.82207566316983,"lon":145.11369564584}
2024-09-02T14:38:16.478672495Z,{"lat":-37.82207733955045,"lon":145.1136972384016}
2024-09-02T14:38:17.484246967Z,{"lat":-37.822079393116724,"lon":145.1136993338774}
2024-09-02T14:38:18.504658573Z,{"lat":-37.82208085994978,"lon":145.11369832804903}
2024-09-02T14:38:19.521567357Z,{"lat":-37.82208140477349,"lon":145.11369765749677}
2024-09-02T14:38:20.542368629Z,{"lat":-37.8220819495972,"lon":145.11369841186806}
2024-09-02T14:38:21.557716666Z,{"lat":-37.822055207537176,"lon":145.11368960598065}
2024-09-02T14:38:22.568481157Z,{"lat":-37.822056273259896,"lon":145.11369001278177}
2024-09-02T14:38:23.58442131Z,{"lat":-37.82205684016786,"lon":145.1136911601693}
2024-09-02T14:38:24.598057453Z,{"lat":-37.82205246759427,"lon":145.11370320290837}
2024-09-02T14:38:25.615584257Z,{"lat":-37.822056646610974,"lon":145.1136974235172}
2024-09-02T14:38:26.628594711Z,{"lat":-37.822056657126666,"lon":145.11369575342678}
2024-09-02T14:38:27.649458164Z,{"lat":-37.822055757354136,"lon":145.11369809991456}
2024-09-02T14:38:28.659987319Z,{"lat":-37.82205574586506,"lon":145.11369250111179}
2024-09-02T14:38:29.674101219Z,{"lat":-37.822058411539,"lon":145.1136939716713}
2024-09-02T14:38:30.689099518Z,{"lat":-37.82205884334295,"lon":145.1136936370558}
2024-09-02T14:38:31.708547589Z,{"lat":-37.822058720530286,"lon":145.1136921745291}
2024-09-02T14:38:32.721595965Z,{"lat":-37.82206024376507,"lon":145.1136978243416}
2024-09-02T14:38:33.737289854Z,{"lat":-37.82206206241605,"lon":145.11369830900452}
2024-09-02T14:38:34.750609431Z,{"lat":-37.82206345341196,"lon":145.11369338735165}
2024-09-02T14:38:35.765710093Z,{"lat":-37.82206606708974,"lon":145.11369708695628}
2024-09-02T14:38:36.783073719Z,{"lat":-37.82206514761023,"lon":145.11370174568052}
2024-09-02T14:38:37.794404212Z,{"lat":-37.82206432506125,"lon":145.11370375052047}
2024-09-02T14:38:38.813260145Z,{"lat":-37.8220659614171,"lon":145.11370179259833}
2024-09-02T14:38:39.829720027Z,{"lat":-37.822067112406444,"lon":145.11370572164032}
2024-09-02T14:38:40.843121551Z,{"lat":-37.822065756886396,"lon":145.1137076713707}
2024-09-02T14:38:42.030162776Z,{"lat":-37.82206976704795,"lon":145.11370234875986}
2024-09-02T14:38:42.874622047Z,{"lat":-37.82207021106339,"lon":145.11370110505217}
2024-09-02T14:38:43.891538678Z,{"lat":-37.822068097380765,"lon":145.1136997171196}
2024-09-02T14:38:44.904421872Z,{"lat":-37.82206877147668,"lon":145.1137048122768}
2024-09-02T14:38:45.920821826Z,{"lat":-37.822069319729174,"lon":145.1137072617444}
2024-09-02T14:38:46.937338875Z,{"lat":-37.82206589931766,"lon":145.1137082589614}
2024-09-02T14:38:47.951262342Z,{"lat":-37.822065083565285,"lon":145.11370663987577}
2024-09-02T14:38:48.967190384Z,{"lat":-37.82206402595067,"lon":145.11370904212248}
2024-09-02T14:38:49.985510492Z,{"lat":-37.82206465622121,"lon":145.1137024284582}
2024-09-02T14:38:50.997283335Z,{"lat":-37.82205859621189,"lon":145.11370119071412}
2024-09-02T14:38:52.018600752Z,{"lat":-37.82206098762449,"lon":145.113698087752}
2024-09-02T14:38:53.029119468Z,{"lat":-37.82206381425077,"lon":145.11369839265922}
